Id,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,text_len,word_count,hashtag_count,emoji_count,SentimentSimple,Sentiment_norm,TextLength,LengthGroup
38, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,Usa,2023,1,27,20,52,6,2,1,Positive,Positive,52,30-59
39, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,1,27,12,52,4,2,1,Positive,Positive,52,30-59
40, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023,1,27,16,52,6,2,1,Positive,Positive,52,30-59
41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,Usa,2023,1,28,9,52,6,2,1,Positive,Positive,52,30-59
42, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,Usa,2023,1,28,14,52,6,2,1,Positive,Positive,52,30-59
43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,United Kingdom,2023,1,28,19,50,6,2,3,Positive,Positive,50,30-59
44, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,1,29,17,52,6,2,1,Positive,Positive,52,30-59
45, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,1,29,20,51,7,2,1,Positive,Positive,51,30-59
46, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,Usa,2023,1,30,11,52,6,2,1,Positive,Positive,52,30-59
47, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,United Kingdom,2023,1,30,15,52,7,2,1,Positive,Positive,52,30-59
48, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,1,30,18,52,5,2,1,Positive,Positive,52,30-59
49, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023,1,31,10,52,6,2,1,Positive,Positive,52,30-59
50, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,Usa,2023,1,31,19,52,7,2,1,Positive,Positive,52,30-59
51, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,1,31,16,52,6,2,1,Positive,Positive,52,30-59
52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,United Kingdom,2023,2,1,8,50,7,2,2,Positive,Positive,50,30-59
53, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,Usa,2023,2,1,13,51,6,2,1,Positive,Positive,51,30-59
55, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023,2,11,9,54,8,2,2,Negative,Anger,54,30-59
56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,Usa,2023,2,11,21,58,10,2,1,Negative,Fear,58,30-59
57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2,12,14,62,9,2,1,Negative,Sadness,62,60-89
58, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,United Kingdom,2023,2,12,18,58,9,2,2,Negative,Disgust,58,30-59
59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,Usa,2023,2,13,10,56,7,2,3,Positive,Happiness,56,30-59
60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2,13,19,55,8,2,2,Positive,Joy,55,30-59
61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,14,8,56,8,2,3,Positive,Love,56,30-59
62, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,United Kingdom,2023,2,14,14,57,7,2,1,Positive,Amusement,57,30-59
63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2,14,19,57,10,2,1,Positive,Enjoyment,57,30-59
64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,Usa,2023,2,15,11,57,9,2,1,Positive,Admiration,57,30-59
65, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,Usa,2023,2,15,16,58,7,2,1,Positive,Affection,58,30-59
66, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023,2,15,20,57,6,2,1,Positive,Awe,57,30-59
67, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2,16,9,57,8,2,1,Negative,Disappointed,57,30-59
68, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,Usa,2023,2,16,14,57,9,2,1,Positive,Surprise,57,30-59
69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2,16,18,57,8,2,2,Positive,Acceptance,57,30-59
70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,United Kingdom,2023,2,17,10,56,8,2,2,Positive,Adoration,56,30-59
71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,Usa,2023,2,17,7,57,8,2,1,Positive,Anticipation,57,30-59
72, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,Usa,2023,2,17,15,57,8,2,1,Negative,Bitter,57,30-59
73, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2,18,9,57,9,2,1,Positive,Calmness,57,30-59
74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,United Kingdom,2023,2,18,14,58,9,2,1,Neutral,Confusion,58,30-59
75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2,18,18,57,7,2,1,Positive,Excitement,57,30-59
76, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,Usa,2023,2,19,11,57,8,2,1,Positive,Kind,57,30-59
77, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023,2,19,16,56,6,2,1,Positive,Pride,56,30-59
78, A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,19,19,58,10,2,1,Negative,Shame,58,30-59
79, Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023,2,20,9,55,7,2,1,Negative,Anger,55,30-59
80, The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,Usa,2023,2,20,21,55,11,2,1,Negative,Fear,55,30-59
81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2,21,14,60,9,2,1,Negative,Sadness,60,60-89
82, The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,United Kingdom,2023,2,21,18,63,10,2,1,Negative,Disgust,63,60-89
83, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,United Kingdom,2023,2,22,10,56,7,2,2,Positive,Happiness,56,30-59
84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2,22,19,62,10,2,3,Positive,Joy,62,60-89
85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,23,8,60,11,2,3,Positive,Love,60,60-89
86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,United Kingdom,2023,2,23,14,58,9,2,3,Positive,Amusement,58,30-59
87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,Usa,2023,2,23,19,57,7,2,2,Positive,Enjoyment,57,30-59
88, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,Usa,2023,2,24,11,59,9,2,1,Positive,Admiration,59,30-59
89, Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,Usa,2023,2,24,16,58,7,2,1,Positive,Affection,58,30-59
90, Awe-struck by the beauty of the night sky.               , Awe          ,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023,2,24,20,58,8,2,2,Positive,Awe,58,30-59
91, Disappointed with the lack of progress in a personal project. , Disappointed ,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2,25,9,63,10,2,1,Negative,Disappointed,63,60-89
92, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,Usa,2023,2,25,14,59,11,2,1,Positive,Surprise,59,30-59
93, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2,25,18,57,7,2,2,Positive,Acceptance,57,30-59
94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,United Kingdom,2023,2,26,10,56,8,2,2,Positive,Adoration,56,30-59
95, Anticipating the release of a much-awaited movie.       , Anticipation ,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023,2,26,7,57,7,2,2,Positive,Anticipation,57,30-59
96, Bitter experience at the customer service department.   , Bitter       ,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,Usa,2023,2,26,15,57,7,2,1,Negative,Bitter,57,30-59
97, Finding calmness amidst the chaos of daily life.        , Calmness     ,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2,27,9,57,8,2,1,Positive,Calmness,57,30-59
98, Confusion reigns as I try to make sense of recent events., Confusion    ,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,United Kingdom,2023,2,27,14,58,11,2,1,Neutral,Confusion,58,30-59
99, Excitement building up for a surprise birthday party.   , Excitement   ,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2,27,18,57,8,2,1,Positive,Excitement,57,30-59
100, Witnessed an act of kindness that made my day.          , Kind         ,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,Usa,2023,2,28,11,57,9,2,1,Positive,Kind,57,30-59
101, Pride in completing a challenging fitness challenge.    , Pride        ,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,United Kingdom,2023,2,28,16,57,7,2,1,Positive,Pride,57,30-59
102, A moment of shame for not speaking up against injustice., Shame        ,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,28,19,57,10,2,1,Negative,Shame,57,30-59
103, Reflecting on the beauty of diversity in our world.     , Acceptance   ,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023,3,1,10,57,9,2,1,Positive,Acceptance,57,30-59
104, Excitement for a quiet evening with a good book.        , Excitement   ,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,Usa,2023,3,1,13,57,9,2,1,Positive,Excitement,57,30-59
105, Feeling bitter about the unfairness in the workplace.   , Bitter       ,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,3,1,17,57,8,2,1,Negative,Bitter,57,30-59
106, Calmness prevails as I practice mindfulness.            , Calmness     ,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,United Kingdom,2023,3,2,18,57,6,2,1,Positive,Calmness,57,30-59
107, Confusion surrounds me as I navigate through life's choices. , Confusion ,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,Usa,2023,3,2,13,62,9,2,2,Neutral,Confusion,62,60-89
108, Excitement for a weekend road trip to explore new places. , Excitement ,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,3,2,16,59,10,2,1,Positive,Excitement,59,30-59
109, Kindness witnessed today restores my faith in humanity.  , Kind         ,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,Usa,2023,3,3,11,58,8,2,1,Positive,Kind,58,30-59
110, Pride in accomplishing personal and professional goals.  , Pride        ,2023-03-03 14:30:00, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canada,2023,3,3,14,58,7,2,1,Positive,Pride,58,30-59
111, Shame for not being true to my values in a difficult situation., Shame ,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0,United Kingdom,2023,3,3,12,64,12,2,1,Negative,Shame,64,60-89
112," Revisiting old memories, feeling a sense of elation. ", Elation       ,2010-05-15 15:30:00, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20.0,40.0,Canada,2010,5,15,15,54,8,2,1,Positive,Elation,54,30-59
113, The victory of our team brought euphoria to the city. , Euphoria      ,2021-08-10 21:15:00, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15.0,30.0,Usa,2021,8,10,21,55,10,2,1,Positive,Euphoria,55,30-59
114," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,2011-06-20 14:45:00, NatureLover2    ,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011,6,20,14,58,9,2,1,Positive,Contentment,58,30-59
115," Meditating by the serene lake, finding inner peace.   ", Serenity      ,2022-02-12 18:20:00, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18.0,35.0,United Kingdom,2022,2,12,18,55,8,2,1,Positive,Serenity,55,30-59
116, Overflowing with gratitude for life's blessings.      , Gratitude     ,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Australia,2012,11,25,10,55,6,2,2,Positive,Gratitude,55,30-59
117," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,2013-04-05 19:30:00, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22.0,45.0,Usa,2013,4,5,19,55,7,2,1,Positive,Hope,55,30-59
118, Empowered to make a difference in my community.        , Empowerment   ,2014-09-14 08:30:00, CommunityLeader ,Twitter, #Empowerment #Community                        ,15.0,30.0,United Kingdom,2014,9,14,8,56,8,2,1,Positive,Empowerment,56,30-59
119, Compassion in action: supporting a local charity event. , Compassion    ,2015-07-18 14:20:00, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,18.0,35.0,Canada,2015,7,18,14,57,8,2,2,Positive,Compassion,57,30-59
120," A moment of tenderness, connecting with loved ones.    ", Tenderness    ,2016-02-23 19:45:00, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,25.0,50.0,United Kingdom,2016,2,23,19,56,8,2,1,Positive,Tenderness,56,30-59
121, Arousal of excitement as I await a special announcement., Arousal       ,2017-10-30 11:30:00, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,20.0,40.0,Australia,2017,10,30,11,57,9,2,1,Negative,Arousal,57,30-59
122, Enthusiastically diving into a new project.            , Enthusiasm    ,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0,Usa,2018,6,15,16,56,6,2,1,Positive,Enthusiasm,56,30-59
123, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,2019-03-28 18:20:00, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,22.0,45.0,India,2019,3,28,18,59,9,2,1,Positive,Fulfillment,59,30-59
124, Reverence for the beauty of a historic landmark.       , Reverence     ,2019-11-11 15:00:00, HistoryLover    ,Twitter, #Reverence #History                           ,18.0,35.0,United Kingdom,2019,11,11,15,56,8,2,1,Positive,Reverence,56,30-59
